match_date,match_result,season
"Tuesday, 01 August",U.P. Yoddha beat Telugu Titans (31-18),5
"Wednesday, 02 August",Match Tied,5
"Wednesday, 02 August",Bengal Warriors beat Telugu Titans (30-24),5
"Thursday, 03 August",Patna Pirates beat Telugu Titans (43-36),5
"Friday, 04 August",Bengaluru Bulls beat Tamil Thalaivas (32-31),5
"Friday, 04 August",Puneri Paltan beat Dabang Delhi K.C. (26-21),5
"Saturday, 05 August",U Mumba beat Dabang Delhi K.C. (36-22),5
"Saturday, 05 August",U.P. Yoddha beat Bengaluru Bulls (32-27),5
"Sunday, 06 August",Bengal Warriors beat U.P. Yoddha (40-20),5
"Sunday, 06 August",Patna Pirates beat Bengaluru Bulls (46-32),5
"Tuesday, 08 August",Haryana Steelers beat Gujarat Fortunegiants (32-20),5
"Tuesday, 08 August",Match Tied,5
"Wednesday, 09 August",Bengaluru Bulls beat Bengal Warriors (31-25),5
"Thursday, 10 August",Jaipur Pink Panthers beat Puneri Paltan (30-28),5
"Thursday, 10 August",Tamil Thalaivas beat Bengaluru Bulls (29-24),5
"Friday, 11 August",Gujarat Fortunegiants beat U Mumba (39-21),5
"Saturday, 12 August",U.P. Yoddha beat Telugu Titans (39-32),5
"Saturday, 12 August",Gujarat Fortunegiants beat Dabang Delhi K.C. (29-25),5
"Sunday, 13 August",Match Tied,5
"Sunday, 13 August",Gujarat Fortunegiants beat Jaipur Pink Panthers (27-20),5
"Tuesday, 15 August",Puneri Paltan beat Bengal Warriors (34-17),5
"Tuesday, 15 August",Gujarat Fortunegiants beat Bengaluru Bulls (27-24),5
"Wednesday, 16 August",Match Tied,5
"Wednesday, 16 August",Gujarat Fortunegiants beat Telugu Titans (29-19),5
"Thursday, 17 August",Dabang Delhi K.C. beat Tamil Thalaivas (30-29),5
"Thursday, 17 August",Match Tied,5
"Friday, 18 August",U Mumba beat U.P. Yoddha (37-34),5
"Friday, 18 August",Jaipur Pink Panthers beat Bengaluru Bulls (30-28),5
"Saturday, 19 August",Telugu Titans beat U Mumba (37-32),5
"Saturday, 19 August",Haryana Steelers beat U.P. Yoddha (36-29),5
"Sunday, 20 August",Puneri Paltan beat Patna Pirates (47-42),5
"Sunday, 20 August",Jaipur Pink Panthers beat U.P. Yoddha (24-22),5
"Tuesday, 22 August",Gujarat Fortunegiants beat Puneri Paltan (35-21),5
"Tuesday, 22 August",Bengal Warriors beat U.P. Yoddha (32-31),5
"Wednesday, 23 August",Haryana Steelers beat Dabang Delhi K.C. (27-25),5
"Wednesday, 23 August",Match Tied,5
"Thursday, 24 August",U.P. Yoddha beat Telugu Titans (25-23),5
"Friday, 25 August",Jaipur Pink Panthers beat U Mumba (39-36),5
"Friday, 25 August",Match Tied,5
"Saturday, 26 August",Patna Pirates beat Tamil Thalaivas (35-24),5
