match_date,Season,win,score,team_name
"Sunday, 02 December",6,0,26,Gujarat Fortunegiants
"Sunday, 02 December",6,0,24,Puneri Paltan
"Tuesday, 04 December",6,0,27,Patna Pirates
"Tuesday, 04 December",6,0,29,Telugu Titans
"Wednesday, 05 December",6,0,33,Bengal Warriors
"Wednesday, 05 December",6,0,31,Bengaluru Bulls
"Thursday, 06 December",6,0,29,Haryana Steelers
"Thursday, 06 December",6,0,33,Tamil Thalaivas
"Friday, 07 December",6,0,27,Telugu Titans
"Friday, 07 December",6,0,36,Puneri Paltan
"Saturday, 08 December",6,0,20,Bengal Warriors
"Saturday, 08 December",6,0,26,Jaipur Pink Panthers
"Sunday, 09 December",6,0,24,Tamil Thalaivas
"Sunday, 09 December",6,0,31,Haryana Steelers
"Tuesday, 11 December",6,0,19,Dabang Delhi K.C.
"Tuesday, 11 December",6,0,20,Telugu Titans
"Wednesday, 12 December",6,0,37,Haryana Steelers
"Wednesday, 12 December",6,0,24,Telugu Titans
"Thursday, 13 December",6,0,36,Patna Pirates
"Friday, 14 December",6,0,23,Puneri Paltan
"Friday, 14 December",6,0,21,Tamil Thalaivas
"Sunday, 16 December",6,0,31,Patna Pirates
"Sunday, 16 December",6,0,29,Jaipur Pink Panthers
"Tuesday, 18 December",6,0,28,Telugu Titans
"Tuesday, 18 December",6,0,30,Haryana Steelers
"Wednesday, 19 December",6,0,31,Jaipur Pink Panthers
"Friday, 21 December",6,0,24,Tamil Thalaivas
"Friday, 21 December",6,0,20,Telugu Titans
"Saturday, 22 December",6,0,32,U Mumba
"Saturday, 22 December",6,0,23,Patna Pirates
"Sunday, 23 December",6,0,31,Bengal Warriors
"Tuesday, 25 December",6,0,34,Telugu Titans
"Wednesday, 26 December",6,0,29,Patna Pirates
"Wednesday, 26 December",6,0,31,Bengaluru Bulls
"Thursday, 27 December",6,0,32,Jaipur Pink Panthers
"Thursday, 27 December",6,0,25,Bengal Warriors
"Sunday, 30 December",6,0,29,U Mumba
"Sunday, 30 December",6,0,28,Bengal Warriors
"Monday, 31 December",6,0,29,Gujarat Fortunegiants
"Monday, 31 December",6,0,33,Dabang Delhi K.C.
"Thursday, 03 January",6,0,31,U.P. Yoddha
"Saturday, 05 January",6,0,33,Gujarat Fortunegiants
"Sunday, 01 September",7,0,29,Bengal Warriors
"Sunday, 01 September",7,0,27,Tamil Thalaivas
"Monday, 02 September",7,0,27,Puneri Paltan
"Monday, 02 September",7,0,30,Tamil Thalaivas
"Wednesday, 04 September",7,0,44,Jaipur Pink Panthers
"Wednesday, 04 September",7,0,39,Patna Pirates
"Friday, 06 September",7,0,29,Patna Pirates
"Friday, 06 September",7,0,39,Telugu Titans
"Saturday, 07 September",7,0,25,Dabang Delhi K.C.
"Sunday, 08 September",7,0,34,Tamil Thalaivas
"Sunday, 08 September",7,0,39,Puneri Paltan
"Monday, 09 September",7,0,26,Gujarat Fortunegiants
"Monday, 09 September",7,0,25,Tamil Thalaivas
"Tuesday, 10 September",7,0,27,Telugu Titans
"Wednesday, 11 September",7,0,26,U Mumba
"Thursday, 12 September",7,0,33,Jaipur Pink Panthers
"Thursday, 12 September",7,0,40,Bengaluru Bulls
"Saturday, 14 September",7,0,33,Gujarat Fortunegiants
"Saturday, 14 September",7,0,35,Tamil Thalaivas
"Sunday, 15 September",7,0,30,Gujarat Fortunegiants
"Sunday, 15 September",7,0,33,Puneri Paltan
"Monday, 16 September",7,0,32,Jaipur Pink Panthers
"Monday, 16 September",7,0,29,Telugu Titans
"Wednesday, 18 September",7,0,36,U.P. Yoddha
"Thursday, 19 September",7,0,36,Haryana Steelers
"Friday, 20 September",7,0,38,Bengaluru Bulls
"Saturday, 21 September",7,0,22,Tamil Thalaivas
"Sunday, 22 September",7,0,25,Gujarat Fortunegiants
"Sunday, 22 September",7,0,40,Jaipur Pink Panthers
"Monday, 23 September",7,0,34,Patna Pirates
"Wednesday, 25 September",7,0,39,Telugu Titans
"Wednesday, 25 September",7,0,34,Puneri Paltan
"Thursday, 26 September",7,0,39,Patna Pirates
"Friday, 27 September",7,0,33,U Mumba
"Friday, 27 September",7,0,31,Jaipur Pink Panthers
"Saturday, 28 September",7,0,30,Haryana Steelers
"Saturday, 28 September",7,0,21,Tamil Thalaivas
"Sunday, 29 September",7,0,40,Puneri Paltan
"Sunday, 29 September",7,0,37,Gujarat Fortunegiants
"Monday, 30 September",7,0,33,Dabang Delhi K.C.
"Monday, 30 September",7,0,32,Tamil Thalaivas
"Saturday, 26 July",1,1,45,U Mumba
"Saturday, 26 July",1,1,47,Bengaluru Bulls
"Sunday, 27 July",1,1,40,Bengaluru Bulls
"Sunday, 27 July",1,1,36,U Mumba
"Monday, 28 July",1,1,35,Dabang Delhi
"Tuesday, 29 July",1,1,36,U Mumba
"Wednesday, 30 July",1,1,46,Bengaluru Bulls
"Thursday, 31 July",1,1,46,Jaipur Pink Panthers
"Thursday, 31 July",1,1,42,Bengal Warriors
"Friday, 01 August",1,1,38,Patna Pirates
"Friday, 01 August",1,1,38,Bengal Warriors
